Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.26846523,0.2289121,0.2289121,0.5052,   0/  3,4.49706936
0,0,1,0.2206468,0.2146643,0.2146643,0.5587,   0/  3,4.52679157
0,0,2,0.20944209,0.20352622,0.20352622,0.586,   0/  3,4.52495575
0,0,3,0.20517741,0.20234471,0.20234471,0.596,   0/  3,4.5288527
0,0,4,0.20111041,0.20300187,0.20234471,0.5783,   1/  3,4.51685047
0,0,5,0.19746325,0.19649754,0.19649754,0.5945,   1/  3,4.52925348
0,0,6,0.19559749,0.19554701,0.19554701,0.6102,   1/  3,4.52362585
0,0,7,0.19440253,0.19488985,0.19488985,0.6001,   1/  3,4.52915716
0,0,8,0.19402994,0.19647638,0.19488985,0.597,   2/  3,4.53514624
0,0,9,0.19292175,0.19312951,0.19312951,0.6147,   2/  3,4.57055855
0,0,10,0.19121676,0.19293738,0.19293738,0.6023,   2/  3,4.61294627
0,0,11,0.19035376,0.19640765,0.19293738,0.599,   3/  3,4.64402843
0,1,0,0.26438406,0.21410892,0.21410892,0.4593,   0/  3,4.70719337
0,1,1,0.21141954,0.20495345,0.20495345,0.4827,   0/  3,4.75557518
0,1,2,0.20238462,0.20334304,0.20334304,0.4515,   0/  3,4.74823999
0,1,3,0.19694293,0.1979457,0.1979457,0.556,   0/  3,4.74788022
0,1,4,0.19022418,0.1851522,0.1851522,0.5959,   0/  3,4.73049068
0,1,5,0.18050468,0.18050128,0.18050128,0.6417,   0/  3,4.73398829
0,1,6,0.1744947,0.17527006,0.17527006,0.6359,   0/  3,4.75012064
0,1,7,0.17138661,0.17858763,0.17527006,0.6519,   1/  3,4.7532382
0,1,8,0.16912333,0.17606082,0.17527006,0.6448,   2/  3,4.80176663
0,1,9,0.16809709,0.1835616,0.17527006,0.6541,   3/  3,4.85741782
0,2,0,0.30550716,0.25074336,0.25074336,0.3337,   0/  3,4.06096315
0,2,1,0.23942275,0.22459473,0.22459473,0.4031,   0/  3,4.12621212
0,2,2,0.21017042,0.20219961,0.20219961,0.4655,   0/  3,4.13186979
0,2,3,0.19836994,0.19411089,0.19411089,0.4786,   0/  3,4.12978888
0,2,4,0.19330189,0.19607539,0.19411089,0.4772,   1/  3,4.13187242
0,2,5,0.18489287,0.17472391,0.17472391,0.5862,   1/  3,4.14010024
0,2,6,0.15325511,0.14310058,0.14310058,0.6654,   1/  3,4.132231
0,2,7,0.14111508,0.13869079,0.13869079,0.6612,   1/  3,4.14177537
0,2,8,0.13839018,0.13960415,0.13869079,0.6604,   2/  3,4.16909933
0,2,9,0.13437053,0.1340706,0.1340706,0.7026,   2/  3,4.23250365
0,2,10,0.12531489,0.1284457,0.1284457,0.7374,   2/  3,4.2669363
0,2,11,0.11719804,0.11801515,0.11801515,0.7733,   2/  3,4.30730534
0,2,12,0.11471217,0.11480917,0.11480917,0.7719,   2/  3,4.40596008
0,2,13,0.11218147,0.11369281,0.11369281,0.7858,   2/  3,4.52907991
0,2,14,0.11067186,0.11682053,0.11369281,0.7736,   3/  3,4.55124021
0,3,0,0.40010337,0.32513942,0.32513942,0.1135,   0/  3,3.44922566
0,3,1,0.32497835,0.32491487,0.32491487,0.1135,   0/  3,3.47850108
0,3,2,0.32494861,0.32491316,0.32491316,0.1135,   0/  3,3.47922134
0,3,3,0.32495463,0.32492998,0.32491316,0.1135,   1/  3,3.48693633
0,3,4,0.32495422,0.32491247,0.32491247,0.1135,   1/  3,3.48599648
0,3,5,0.32496187,0.32491155,0.32491155,0.1135,   1/  3,3.478338
0,3,6,0.32495491,0.32490066,0.32490066,0.1135,   1/  3,3.47955203
0,3,7,0.324955,0.32493047,0.32490066,0.1135,   2/  3,3.48267651
0,3,8,0.32496165,0.32492602,0.32490066,0.1135,   3/  3,3.49005795
0,4,0,0.3206915,0.27589136,0.27589136,0.3234,   0/  3,3.22762156
0,4,1,0.2740474,0.27013013,0.27013013,0.3474,   0/  3,3.25908422
0,4,2,0.27031096,0.25798509,0.25798509,0.3362,   0/  3,3.25792146
0,4,3,0.25091626,0.24595066,0.24595066,0.3539,   0/  3,3.25929689
0,4,4,0.24500108,0.24074183,0.24074183,0.3657,   0/  3,3.25632238
0,4,5,0.24287985,0.2426836,0.24074183,0.3436,   1/  3,3.2614212
0,4,6,0.24205783,0.24034261,0.24034261,0.3796,   1/  3,3.25816536
0,4,7,0.24187028,0.24035316,0.24034261,0.3735,   2/  3,3.25836706
0,4,8,0.24145843,0.23976745,0.23976745,0.3761,   2/  3,3.26241779
0,4,9,0.24140236,0.23907311,0.23907311,0.3526,   2/  3,3.29321599
0,4,10,0.24086235,0.24017143,0.23907311,0.3602,   3/  3,3.36402082
0,5,0,0.34225887,0.32496403,0.32496403,0.1135,   0/  3,4.47383523
0,5,1,0.32500515,0.32496056,0.32496056,0.1135,   0/  3,4.48705912
0,5,2,0.32503806,0.32492675,0.32492675,0.1135,   0/  3,4.50133348
0,5,3,0.3250224,0.32497825,0.32492675,0.1135,   1/  3,4.49126124
0,5,4,0.32503051,0.32497599,0.32492675,0.1135,   2/  3,4.48716974
0,5,5,0.32500135,0.32495608,0.32492675,0.1135,   3/  3,4.49183393
0,6,0,0.29012959,0.26128171,0.26128171,0.2982,   0/  3,5.11326265
0,6,1,0.25620083,0.25172934,0.25172934,0.313,   0/  3,5.13465571
0,6,2,0.25230979,0.24825016,0.24825016,0.3273,   0/  3,5.13764358
0,6,3,0.25150003,0.24941424,0.24825016,0.3188,   1/  3,5.14473772
0,6,4,0.25137478,0.24844128,0.24825016,0.3202,   2/  3,5.1444006
0,6,5,0.25019325,0.24817735,0.24817735,0.3216,   2/  3,5.13999391
0,6,6,0.24896188,0.24770227,0.24770227,0.3238,   2/  3,5.14154458
0,6,7,0.24825173,0.25012118,0.24770227,0.3239,   3/  3,5.14109993
0,7,0,0.24872301,0.18908422,0.18908422,0.5195,   0/  3,3.93278122
0,7,1,0.16866454,0.14102002,0.14102002,0.6963,   0/  3,3.96389222
0,7,2,0.13314895,0.12190036,0.12190036,0.7553,   0/  3,3.9636569
0,7,3,0.12463858,0.11797452,0.11797452,0.7638,   0/  3,3.96533108
0,7,4,0.12171817,0.12312609,0.11797452,0.7624,   1/  3,3.95859933
0,7,5,0.11938952,0.1194493,0.11797452,0.7731,   2/  3,3.96064758
0,7,6,0.11818365,0.11884035,0.11797452,0.7797,   3/  3,3.96164966
0,8,0,0.23260288,0.13511425,0.13511425,0.7653,   0/  3,5.29537058
0,8,1,0.11455228,0.0991113,0.0991113,0.8502,   0/  3,5.34289932
0,8,2,0.09276873,0.08714267,0.08714267,0.8614,   0/  3,5.34925342
0,8,3,0.08423166,0.08182423,0.08182423,0.8743,   0/  3,5.3440609
0,8,4,0.07856887,0.07632149,0.07632149,0.8807,   0/  3,5.34215808
0,8,5,0.07495597,0.07547025,0.07547025,0.8817,   0/  3,5.34061956
0,8,6,0.07225442,0.07462401,0.07462401,0.8818,   0/  3,5.34741759
0,8,7,0.07014572,0.07038753,0.07038753,0.8917,   0/  3,5.36034369
0,8,8,0.06862167,0.06764397,0.06764397,0.8926,   0/  3,5.41221428
0,8,9,0.06640667,0.06675566,0.06675566,0.8956,   0/  3,5.4745729
