Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.34790416,0.32497184,0.32497184,0.1135,   0/  3,3.78550839
0,0,1,0.3249951,0.32497132,0.32497132,0.1135,   0/  3,3.80375218
0,0,2,0.32498915,0.32493674,0.32493674,0.1135,   0/  3,3.80432701
0,0,3,0.32499512,0.32499036,0.32493674,0.1028,   1/  3,3.80782151
0,0,4,0.32500878,0.3249714,0.32493674,0.1028,   2/  3,3.80874038
0,0,5,0.32498916,0.32492433,0.32492433,0.1135,   2/  3,3.80407429
0,0,6,0.32498351,0.32494954,0.32492433,0.1135,   3/  3,3.80050182
0,1,0,0.38624362,0.32501229,0.32501229,0.1135,   0/  3,3.78365397
0,1,1,0.32496541,0.32494553,0.32494553,0.1135,   0/  3,3.80331993
0,1,2,0.3249558,0.32492218,0.32492218,0.1135,   0/  3,3.80067611
0,1,3,0.32494712,0.32491975,0.32491975,0.1135,   0/  3,3.79763222
0,1,4,0.32495761,0.32494646,0.32491975,0.1135,   1/  3,3.80135727
0,1,5,0.32495309,0.32493756,0.32491975,0.1135,   2/  3,3.80218887
0,1,6,0.32495368,0.32494287,0.32491975,0.1135,   3/  3,3.79987574
0,2,0,0.39640176,0.32515173,0.32515173,0.1135,   0/  3,4.31133819
0,2,1,0.32496826,0.32491969,0.32491969,0.1135,   0/  3,4.31509137
0,2,2,0.32496165,0.32491086,0.32491086,0.1135,   0/  3,4.30757046
0,2,3,0.32495312,0.32492968,0.32491086,0.1135,   1/  3,4.31050372
0,2,4,0.32495358,0.32490263,0.32490263,0.1135,   1/  3,4.31782699
0,2,5,0.32495442,0.32494986,0.32490263,0.1135,   2/  3,4.31916332
0,2,6,0.32495313,0.32495614,0.32490263,0.1135,   3/  3,4.31832838
0,3,0,0.31970163,0.26364836,0.26364836,0.2761,   0/  3,4.39762807
0,3,1,0.2587634,0.25698619,0.25698619,0.2731,   0/  3,4.42242932
0,3,2,0.25320235,0.25128569,0.25128569,0.2996,   0/  3,4.41958117
0,3,3,0.25080398,0.25044717,0.25044717,0.3096,   0/  3,4.42343569
0,3,4,0.25006318,0.24983778,0.24983778,0.3111,   0/  3,4.42221022
0,3,5,0.24969505,0.24961496,0.24961496,0.3124,   0/  3,4.42251897
0,3,6,0.24946663,0.24937518,0.24937518,0.3073,   0/  3,4.41611934
0,3,7,0.24924973,0.24882635,0.24882635,0.3153,   0/  3,4.42011404
0,3,8,0.24918071,0.24912184,0.24882635,0.3172,   1/  3,4.42978168
0,3,9,0.24902747,0.2496101,0.24882635,0.316,   2/  3,4.45881319
0,3,10,0.24889589,0.24951072,0.24882635,0.3135,   3/  3,4.49889421
0,4,0,0.39697986,0.3250733,0.3250733,0.1135,   0/  3,4.95940375
0,4,1,0.32497249,0.32493415,0.32493415,0.1135,   0/  3,4.95926046
0,4,2,0.32495788,0.32490776,0.32490776,0.1135,   0/  3,4.96166277
0,4,3,0.32495623,0.32491536,0.32490776,0.1135,   1/  3,4.95504951
0,4,4,0.32495812,0.32493104,0.32490776,0.1135,   2/  3,4.96765113
0,4,5,0.32495307,0.32491734,0.32490776,0.1135,   3/  3,4.96765995
0,5,0,0.3454514,0.32496773,0.32496773,0.1135,   0/  3,3.70088553
0,5,1,0.32500883,0.32492869,0.32492869,0.1135,   0/  3,3.73861146
0,5,2,0.32500261,0.32494881,0.32492869,0.1135,   1/  3,3.72754622
0,5,3,0.32500101,0.32493963,0.32492869,0.1135,   2/  3,3.72917628
0,5,4,0.32499885,0.32502102,0.32492869,0.101,   3/  3,3.72453189
0,6,0,0.33445634,0.2824288,0.2824288,0.2062,   0/  3,3.78253007
0,6,1,0.27214041,0.26638936,0.26638936,0.2034,   0/  3,3.79151535
0,6,2,0.26703729,0.26647773,0.26638936,0.2083,   1/  3,3.80191135
0,6,3,0.26653946,0.26601783,0.26601783,0.2055,   1/  3,3.79759526
0,6,4,0.26621794,0.2666773,0.26601783,0.2047,   2/  3,3.79974508
0,6,5,0.26612077,0.26462765,0.26462765,0.2096,   2/  3,3.79225039
0,6,6,0.26579045,0.26516152,0.26462765,0.2083,   3/  3,3.79814196
0,7,0,0.3615855,0.3249428,0.3249428,0.1135,   0/  3,3.7272408
0,7,1,0.32500069,0.32506003,0.3249428,0.1135,   1/  3,3.74606013
0,7,2,0.32501035,0.32491996,0.32491996,0.1135,   1/  3,3.75009465
0,7,3,0.32500956,0.3249922,0.32491996,0.1135,   2/  3,3.74938917
0,7,4,0.32500327,0.32501742,0.32491996,0.1135,   3/  3,3.74523354
0,8,0,0.37727424,0.32499025,0.32499025,0.1135,   0/  3,3.73002791
0,8,1,0.32496804,0.32491647,0.32491647,0.1135,   0/  3,3.75097013
0,8,2,0.32495877,0.32491031,0.32491031,0.1135,   0/  3,3.75095844
0,8,3,0.32494866,0.32491295,0.32491031,0.1135,   1/  3,3.74989128
0,8,4,0.32495768,0.32492255,0.32491031,0.1135,   2/  3,3.75079155
0,8,5,0.32495309,0.32491933,0.32491031,0.1135,   3/  3,3.75081921
0,9,0,0.34243748,0.32500549,0.32500549,0.1028,   0/  3,5.04592204
0,9,1,0.32504511,0.32494659,0.32494659,0.1135,   0/  3,5.05869412
0,9,2,0.32504879,0.32501562,0.32494659,0.1135,   1/  3,5.06582665
0,9,3,0.32503183,0.32497164,0.32494659,0.1135,   2/  3,5.05113602
0,9,4,0.3250373,0.32502292,0.32494659,0.1135,   3/  3,5.05725265
1,0,0,0.34232087,0.31752653,0.31752653,0.2903,   0/  3,3.76921821
1,0,1,0.29893906,0.28416964,0.28416964,0.3001,   0/  3,3.78931427
1,0,2,0.28029303,0.27798567,0.27798567,0.3347,   0/  3,3.7908535
1,0,3,0.27675653,0.27744016,0.27744016,0.3161,   0/  3,3.7855227
1,0,4,0.27548985,0.27669095,0.27669095,0.3747,   0/  3,3.78652477
1,0,5,0.27435683,0.27717119,0.27669095,0.2902,   1/  3,3.78836703
1,0,6,0.27272733,0.2727702,0.2727702,0.3633,   1/  3,3.78459311
1,0,7,0.27102488,0.27275706,0.27275706,0.366,   1/  3,3.78024769
1,0,8,0.27089269,0.27277807,0.27275706,0.3724,   2/  3,3.78905392
1,0,9,0.2710148,0.27135322,0.27135322,0.3682,   2/  3,3.82033539
1,0,10,0.26993975,0.27214052,0.27135322,0.3545,   3/  3,3.85070682
1,1,0,0.36201136,0.32495248,0.32495248,0.1135,   0/  3,3.76889944
1,1,1,0.32495642,0.32490144,0.32490144,0.1135,   0/  3,3.80088782
1,1,2,0.32495277,0.32492705,0.32490144,0.1135,   1/  3,3.79601073
1,1,3,0.3249536,0.3249273,0.32490144,0.1135,   2/  3,3.8015275
1,1,4,0.32495452,0.32493491,0.32490144,0.1135,   3/  3,3.79354882
1,2,0,0.3395494,0.28900627,0.28900627,0.2001,   0/  3,4.31740713
1,2,1,0.28051833,0.27449336,0.27449336,0.2722,   0/  3,4.35203719
1,2,2,0.27648205,0.27526274,0.27449336,0.3102,   1/  3,4.34707999
1,2,3,0.27445705,0.27025619,0.27025619,0.3018,   1/  3,4.3553803
1,2,4,0.26973862,0.26843095,0.26843095,0.2881,   1/  3,4.35020113
1,2,5,0.26908381,0.26811997,0.26811997,0.3002,   1/  3,4.34963107
1,2,6,0.26862364,0.26823829,0.26811997,0.3206,   2/  3,4.34791803
1,2,7,0.26643748,0.26337142,0.26337142,0.3038,   2/  3,4.35224628
1,2,8,0.26316949,0.26586177,0.26337142,0.2999,   3/  3,4.35691786
1,3,0,0.29848536,0.24709969,0.24709969,0.3788,   0/  3,4.36545229
1,3,1,0.23275708,0.22773859,0.22773859,0.3793,   0/  3,4.39809084
1,3,2,0.22227162,0.22194035,0.22194035,0.3955,   0/  3,4.39358783
1,3,3,0.21979075,0.22037726,0.22037726,0.3903,   0/  3,4.40014935
1,3,4,0.21880601,0.21880127,0.21880127,0.3985,   0/  3,4.39844465
1,3,5,0.2184102,0.21603568,0.21603568,0.4077,   0/  3,4.40171981
1,3,6,0.21675993,0.21326318,0.21326318,0.4229,   0/  3,4.39993858
1,3,7,0.21560557,0.21463667,0.21326318,0.4235,   1/  3,4.40091467
1,3,8,0.21384487,0.2129334,0.2129334,0.4208,   1/  3,4.408638
1,3,9,0.21339436,0.21441308,0.2129334,0.4153,   2/  3,4.41672969
1,3,10,0.21273231,0.21375579,0.2129334,0.4201,   3/  3,4.44116497
1,4,0,0.30694738,0.26911806,0.26911806,0.2772,   0/  3,4.9669075
1,4,1,0.26432669,0.2613264,0.2613264,0.304,   0/  3,4.9814117
1,4,2,0.26005493,0.25798742,0.25798742,0.3279,   0/  3,4.98097682
1,4,3,0.25838569,0.25599905,0.25599905,0.332,   0/  3,4.9818275
1,4,4,0.25681988,0.25356579,0.25356579,0.35,   0/  3,4.98444247
1,4,5,0.25627131,0.25492583,0.25356579,0.3415,   1/  3,4.9761219
1,4,6,0.25581075,0.25424333,0.25356579,0.3463,   2/  3,4.97386885
1,4,7,0.25565841,0.25367272,0.25356579,0.3516,   3/  3,4.986974
1,5,0,0.3862897,0.32506546,0.32506546,0.1135,   0/  3,3.68048143
1,5,1,0.32496966,0.32492381,0.32492381,0.1135,   0/  3,3.69124794
1,5,2,0.32495566,0.32493168,0.32492381,0.1135,   1/  3,3.69399118
1,5,3,0.32495681,0.32491193,0.32491193,0.1135,   1/  3,3.69174838
1,5,4,0.32495081,0.32492787,0.32491193,0.1135,   2/  3,3.6925621
1,5,5,0.32495134,0.32492366,0.32491193,0.1135,   3/  3,3.69490457
1,6,0,0.31339812,0.28126591,0.28126591,0.2878,   0/  3,3.76311159
1,6,1,0.27684962,0.27421119,0.27421119,0.2976,   0/  3,3.77546239
1,6,2,0.2730664,0.27219478,0.27219478,0.3361,   0/  3,3.77108073
1,6,3,0.27182132,0.27108327,0.27108327,0.3616,   0/  3,3.7698884
1,6,4,0.27119421,0.27128861,0.27108327,0.3253,   1/  3,3.77530098
1,6,5,0.27104147,0.26944147,0.26944147,0.3423,   1/  3,3.77513719
1,6,6,0.27084503,0.26939931,0.26939931,0.353,   1/  3,3.77302861
1,6,7,0.27089256,0.2689501,0.2689501,0.3507,   1/  3,3.77324343
1,6,8,0.27073917,0.26895859,0.2689501,0.3535,   2/  3,3.78239155
1,6,9,0.27068644,0.2687561,0.2687561,0.3496,   2/  3,3.79878902
1,6,10,0.27054016,0.2690462,0.2687561,0.3495,   3/  3,3.82880282
1,7,0,0.31165426,0.26747763,0.26747763,0.3055,   0/  3,4.3247478
1,7,1,0.26467559,0.25771181,0.25771181,0.3296,   0/  3,4.33379173
1,7,2,0.25788459,0.25421424,0.25421424,0.3161,   0/  3,4.33829641
1,7,3,0.24999503,0.24643227,0.24643227,0.2954,   0/  3,4.34073496
1,7,4,0.24333457,0.24393361,0.24393361,0.3411,   0/  3,4.34071779
1,7,5,0.24263313,0.24051375,0.24051375,0.3053,   0/  3,4.33102059
1,7,6,0.24198146,0.23961998,0.23961998,0.3254,   0/  3,4.33451486
1,7,7,0.24338939,0.24162701,0.23961998,0.3384,   1/  3,4.33695936
1,7,8,0.24199084,0.23990058,0.23961998,0.348,   2/  3,4.34335995
1,7,9,0.24107775,0.23813385,0.23813385,0.3622,   2/  3,4.33793783
1,7,10,0.24035173,0.23906667,0.23813385,0.3586,   3/  3,4.3391757
1,8,0,0.37198286,0.32499706,0.32499706,0.1135,   0/  3,3.68727899
1,8,1,0.32496092,0.32492989,0.32492989,0.1135,   0/  3,3.68985486
1,8,2,0.32495034,0.32494545,0.32492989,0.1135,   1/  3,3.68582726
1,8,3,0.32495428,0.32491066,0.32491066,0.1135,   1/  3,3.69126391
1,8,4,0.32495858,0.32490457,0.32490457,0.1135,   1/  3,3.68964911
1,8,5,0.32495252,0.32494744,0.32490457,0.1135,   2/  3,3.68760777
1,8,6,0.32495969,0.32491886,0.32490457,0.1135,   3/  3,3.69349003
1,9,0,0.33820916,0.32496265,0.32496265,0.1135,   0/  3,5.04025388
1,9,1,0.32504139,0.32509624,0.32496265,0.1135,   1/  3,5.05304408
1,9,2,0.3250646,0.32497468,0.32496265,0.1135,   2/  3,5.05223083
1,9,3,0.32505017,0.32499365,0.32496265,0.1135,   3/  3,5.05488563
2,0,0,0.3299525,0.28187948,0.28187948,0.3036,   0/  3,4.38079166
2,0,1,0.27931651,0.28047416,0.28047416,0.319,   0/  3,4.38661385
2,0,2,0.27719231,0.2770761,0.2770761,0.3459,   0/  3,4.38961411
2,0,3,0.27556443,0.27573425,0.27573425,0.3427,   0/  3,4.39316607
2,0,4,0.27500228,0.27519938,0.27519938,0.343,   0/  3,4.39833426
2,0,5,0.27477591,0.27578862,0.27519938,0.3441,   1/  3,4.40030026
2,0,6,0.27430929,0.274968,0.274968,0.3547,   1/  3,4.39798808
2,0,7,0.27317199,0.27370283,0.27370283,0.3781,   1/  3,4.39711976
2,0,8,0.27230492,0.27404588,0.27370283,0.3675,   2/  3,4.41338134
