Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.23054329,0.18278423,0.18278423,0.6392,   0/  3,3.55242419
0,0,1,0.17890586,0.17464071,0.17464071,0.6536,   0/  3,3.60677838
0,0,2,0.17103514,0.16793706,0.16793706,0.6548,   0/  3,3.60718036
0,0,3,0.16721561,0.163959,0.163959,0.6652,   0/  3,3.6024816
0,0,4,0.1649127,0.16655277,0.163959,0.6631,   1/  3,3.60383368
0,0,5,0.16322775,0.15848814,0.15848814,0.6673,   1/  3,3.60519099
0,0,6,0.1584041,0.15249601,0.15249601,0.6822,   1/  3,3.60882187
0,0,7,0.15334901,0.15093963,0.15093963,0.6941,   1/  3,3.61210227
0,0,8,0.15276134,0.14956774,0.14956774,0.698,   1/  3,3.62090945
0,0,9,0.15157407,0.14978079,0.14956774,0.6916,   2/  3,3.68483996
0,0,10,0.15120062,0.14969878,0.14956774,0.7065,   3/  3,3.80412769
0,1,0,0.19632869,0.14589817,0.14589817,0.7095,   0/  3,4.58580995
0,1,1,0.14420953,0.14004381,0.14004381,0.7233,   0/  3,4.62080741
0,1,2,0.13645471,0.13342678,0.13342678,0.7309,   0/  3,4.62064362
0,1,3,0.13299263,0.13468457,0.13342678,0.732,   1/  3,4.6263206
0,1,4,0.13033202,0.13345189,0.13342678,0.7331,   2/  3,4.63017154
0,1,5,0.1293058,0.12847237,0.12847237,0.7418,   2/  3,4.62620497
0,1,6,0.12776539,0.12973473,0.12847237,0.7396,   3/  3,4.62912273
0,2,0,0.29809834,0.23052801,0.23052801,0.3806,   0/  3,5.42779183
0,2,1,0.21563375,0.2068632,0.2068632,0.4952,   0/  3,5.4904356
0,2,2,0.17780841,0.16235264,0.16235264,0.6283,   0/  3,5.49389243
0,2,3,0.1526416,0.15171553,0.15171553,0.6426,   0/  3,5.49629235
0,2,4,0.146411,0.14586196,0.14586196,0.6625,   0/  3,5.49579096
0,2,5,0.14073037,0.14331564,0.14331564,0.6732,   0/  3,5.49011493
0,2,6,0.1374273,0.14582921,0.14331564,0.6819,   1/  3,5.49791622
0,2,7,0.13680038,0.14158638,0.14158638,0.6741,   1/  3,5.50696635
0,2,8,0.13494308,0.14004226,0.14004226,0.6819,   1/  3,5.56141233
0,2,9,0.13447958,0.14028481,0.14004226,0.6967,   2/  3,5.6562314
0,2,10,0.13346592,0.13885706,0.13885706,0.7043,   2/  3,5.68897033
0,2,11,0.1317422,0.13597696,0.13597696,0.7157,   2/  3,5.80329609
0,2,12,0.13149584,0.13389412,0.13389412,0.7122,   2/  3,6.07789683
0,2,13,0.13046287,0.13606573,0.13389412,0.7113,   3/  3,6.15666246
0,3,0,0.24088171,0.14196661,0.14196661,0.7528,   0/  3,4.82915759
0,3,1,0.11236355,0.10130184,0.10130184,0.8336,   0/  3,4.89078951
0,3,2,0.09390454,0.09300204,0.09300204,0.8501,   0/  3,4.89434361
0,3,3,0.08017038,0.07869022,0.07869022,0.879,   0/  3,4.90037322
0,3,4,0.06912554,0.06410491,0.06410491,0.9006,   0/  3,4.90156269
0,3,5,0.06450735,0.06111195,0.06111195,0.905,   0/  3,4.89670062
0,3,6,0.06167225,0.06578788,0.06111195,0.8963,   1/  3,4.90358305
0,3,7,0.05998818,0.06203719,0.06111195,0.9007,   2/  3,4.90797138
0,3,8,0.0585663,0.05791617,0.05791617,0.9128,   2/  3,4.95678473
0,3,9,0.05700147,0.0585465,0.05791617,0.9089,   3/  3,5.0363071
0,4,0,0.3129391,0.25508237,0.25508237,0.3287,   0/  3,4.46680427
0,4,1,0.24324309,0.23793255,0.23793255,0.3943,   0/  3,4.49129748
0,4,2,0.23748336,0.23164978,0.23164978,0.4204,   0/  3,4.49081016
0,4,3,0.23647314,0.23197239,0.23164978,0.4119,   1/  3,4.49111366
0,4,4,0.23374633,0.23600254,0.23164978,0.4117,   2/  3,4.48810196
0,4,5,0.23838927,0.23591838,0.23164978,0.3965,   3/  3,4.47963572
0,5,0,0.16436581,0.11628667,0.11628667,0.786,   0/  3,4.81740189
0,5,1,0.10178456,0.07764451,0.07764451,0.8836,   0/  3,4.8870697
0,5,2,0.07264441,0.06821749,0.06821749,0.8993,   0/  3,4.87843513
0,5,3,0.06205813,0.05759922,0.05759922,0.914,   0/  3,4.87709689
0,5,4,0.05704012,0.05611601,0.05611601,0.9188,   0/  3,4.88374209
0,5,5,0.05334095,0.06353049,0.05611601,0.8994,   1/  3,4.86921239
0,5,6,0.05092196,0.05131017,0.05131017,0.9246,   1/  3,4.86614728
0,5,7,0.04912931,0.05011244,0.05011244,0.9238,   1/  3,4.88037086
0,5,8,0.04764032,0.04900468,0.04900468,0.9245,   1/  3,4.89620113
0,5,9,0.04594477,0.04721636,0.04721636,0.931,   1/  3,4.94475389
0,5,10,0.0448557,0.04808122,0.04721636,0.9289,   2/  3,4.96614051
0,5,11,0.04321354,0.0452558,0.0452558,0.933,   2/  3,4.99187541
0,5,12,0.04283166,0.04977427,0.0452558,0.9249,   3/  3,5.06479859
0,6,0,0.23726637,0.18609998,0.18609998,0.5658,   0/  3,4.45594311
0,6,1,0.17655488,0.17405943,0.17405943,0.6202,   0/  3,4.47958088
0,6,2,0.16764304,0.16521772,0.16521772,0.6506,   0/  3,4.47612786
0,6,3,0.16171319,0.15628799,0.15628799,0.6585,   0/  3,4.47384644
0,6,4,0.15690882,0.15545908,0.15545908,0.6716,   0/  3,4.46595788
0,6,5,0.15507891,0.15066822,0.15066822,0.6831,   0/  3,4.4653151
