Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation), Accuracy,StopCount,Runtime
10,3,12,0.08599119,0.09084074,0.08957,0.8516,   3/  3,4.07147145
10,4,0,0.34296293,0.32502697,0.32502697,0.1135,   0/  3,4.07512212
10,4,1,0.32507318,0.32503289,0.32502697,0.1135,   1/  3,4.10100508
10,4,2,0.32506072,0.32506506,0.32502697,0.1028,   2/  3,4.10731196
10,4,3,0.32507314,0.32505288,0.32502697,0.1135,   3/  3,4.10289407
10,5,0,0.2507659,0.19848222,0.19848222,0.5897,   0/  3,3.98652816
10,5,1,0.18483884,0.18707,0.18707,0.5805,   0/  3,4.03755641
10,5,2,0.14075581,0.12685121,0.12685121,0.7616,   0/  3,4.02709532
10,5,3,0.12245668,0.12888913,0.12685121,0.7751,   1/  3,4.02044058
10,5,4,0.11637586,0.12140275,0.12140275,0.7894,   1/  3,4.0175221
10,5,5,0.11262233,0.11959639,0.11959639,0.8131,   1/  3,4.02412343
10,5,6,0.11054721,0.12244306,0.11959639,0.7857,   2/  3,4.01781201
10,5,7,0.10668659,0.10592474,0.10592474,0.8334,   2/  3,4.01845098
10,5,8,0.10156282,0.10661341,0.10592474,0.8266,   3/  3,4.03221059
10,6,0,0.34161351,0.2685614,0.2685614,0.2536,   0/  3,4.0515058
10,6,1,0.26635487,0.26438784,0.26438784,0.2682,   0/  3,4.08295846
10,6,2,0.26330486,0.25797557,0.25797557,0.2959,   0/  3,4.08693194
10,6,3,0.26196553,0.26154143,0.25797557,0.2702,   1/  3,4.08041167
10,6,4,0.26174164,0.25603055,0.25603055,0.3026,   1/  3,4.08702731
10,6,5,0.26010322,0.25815783,0.25603055,0.2868,   2/  3,4.08917403
10,6,6,0.25995164,0.26197062,0.25603055,0.2769,   3/  3,4.09288216
10,7,0,0.21280724,0.18221354,0.18221354,0.6294,   0/  3,4.01051688
10,7,1,0.15326947,0.13824884,0.13824884,0.7522,   0/  3,4.03539038
10,7,2,0.11764221,0.11469897,0.11469897,0.8048,   0/  3,4.01704764
10,7,3,0.10531,0.10292135,0.10292135,0.8296,   0/  3,4.01863694
10,7,4,0.09880682,0.09251444,0.09251444,0.8597,   0/  3,4.00496078
10,7,5,0.09176073,0.09012972,0.09012972,0.8617,   0/  3,4.01527739
10,7,6,0.08703983,0.08754076,0.08754076,0.8691,   0/  3,4.00973272
10,7,7,0.08484453,0.08109927,0.08109927,0.8738,   0/  3,4.01609778
10,7,8,0.08274212,0.09323932,0.08109927,0.855,   1/  3,4.02450824
10,7,9,0.08143071,0.08142396,0.08109927,0.8761,   2/  3,4.07570457
10,7,10,0.08056663,0.08610997,0.08109927,0.8611,   3/  3,4.11770558
10,8,0,0.19624991,0.14596783,0.14596783,0.7098,   0/  3,3.98535776
10,8,1,0.13009836,0.12289286,0.12289286,0.7743,   0/  3,4.02431798
10,8,2,0.11835724,0.11864388,0.11864388,0.7848,   0/  3,4.0209024
10,8,3,0.11385014,0.116454,0.116454,0.786,   0/  3,4.01522088
10,8,4,0.11077323,0.11047911,0.11047911,0.7948,   0/  3,4.01146746
10,8,5,0.10635497,0.10418177,0.10418177,0.815,   0/  3,4.01089907
10,8,6,0.09747632,0.09602639,0.09602639,0.8276,   0/  3,4.01059127
10,8,7,0.09179287,0.0953657,0.0953657,0.8389,   0/  3,4.01524544
10,8,8,0.08900985,0.09669827,0.0953657,0.8359,   1/  3,4.03269958
10,8,9,0.08689942,0.08517304,0.08517304,0.8605,   1/  3,4.07218742
10,8,10,0.08502346,0.08524065,0.08517304,0.8605,   2/  3,4.11093616
10,8,11,0.08392924,0.09076095,0.08517304,0.8461,   3/  3,4.14254308
10,9,0,0.33972662,0.32524459,0.32524459,0.1135,   0/  3,4.06908226
10,9,1,0.32506758,0.32494981,0.32494981,0.1135,   0/  3,4.09758186
10,9,2,0.32506221,0.32506318,0.32494981,0.101,   1/  3,4.09584594
10,9,3,0.32507384,0.32509327,0.32494981,0.101,   2/  3,4.10206175
10,9,4,0.3250405,0.32504871,0.32494981,0.1135,   3/  3,4.10341907
