Generation,PID,Epoch, Training Loss, Validation Loss,Best loss (Generation), Accuracy,EarlyStopCount,Runtime
6,7,4,0.14733632,0.14666689,0.14666689,0.6806,   2/  3,4.15278769
6,7,5,0.1462145,0.14837165,0.14666689,0.6782,   3/  3,4.14941287
6,8,0,0.34347,0.32510043,0.32510043,0.1028,   0/  3,4.15836692
6,8,1,0.32510036,0.32498046,0.32498046,0.1135,   0/  3,4.19887638
6,8,2,0.32505645,0.32507145,0.32498046,0.1135,   1/  3,4.20942831
6,8,3,0.32506155,0.32502614,0.32498046,0.1028,   2/  3,4.20845532
6,8,4,0.28996037,0.26222794,0.26222794,0.2656,   2/  3,4.1886692
6,8,5,0.25965509,0.25796502,0.25796502,0.3043,   2/  3,4.18365073
6,8,6,0.25781491,0.25803269,0.25796502,0.2929,   3/  3,4.19224524
6,9,0,0.16168727,0.10494609,0.10494609,0.8101,   0/  3,4.12413692
6,9,1,0.10339081,0.09375153,0.09375153,0.8339,   0/  3,4.17331553
6,9,2,0.08942825,0.08029903,0.08029903,0.8648,   0/  3,4.17602158
6,9,3,0.08040463,0.09001783,0.08029903,0.8513,   1/  3,4.17564535
6,9,4,0.07714486,0.07688503,0.07688503,0.8674,   1/  3,4.1695466
6,9,5,0.07442202,0.07618193,0.07618193,0.8682,   1/  3,4.17677689
6,9,6,0.07212182,0.07254202,0.07254202,0.8731,   1/  3,4.17381001
6,9,7,0.0703533,0.06847352,0.06847352,0.8809,   1/  3,4.17367101
6,9,8,0.06916356,0.06709382,0.06709382,0.884,   1/  3,4.19430828
6,9,9,0.06805848,0.06973052,0.06709382,0.8826,   2/  3,4.25458479
6,9,10,0.06734146,0.06783784,0.06709382,0.8838,   3/  3,4.31713533
7,0,0,0.17258924,0.13331734,0.13331734,0.7237,   0/  3,4.1733036
7,0,1,0.12248335,0.11321878,0.11321878,0.7835,   0/  3,4.20436335
7,0,2,0.1069612,0.10795618,0.10795618,0.7987,   0/  3,4.21661878
7,0,3,0.09643047,0.09362579,0.09362579,0.8364,   0/  3,4.22030187
7,0,4,0.0885084,0.08092675,0.08092675,0.8643,   0/  3,4.21355581
7,0,5,0.07905384,0.07425508,0.07425508,0.8742,   0/  3,4.20235491
7,0,6,0.07492531,0.07245763,0.07245763,0.8782,   0/  3,4.2068522
7,0,7,0.07279103,0.07058844,0.07058844,0.8775,   0/  3,4.19879127
7,0,8,0.07023409,0.06818838,0.06818838,0.8864,   0/  3,4.20899796
7,0,9,0.06813805,0.06721788,0.06721788,0.8848,   0/  3,4.26885176
7,0,10,0.06612208,0.0746089,0.06721788,0.8796,   1/  3,4.31744313
7,0,11,0.06358328,0.06289772,0.06289772,0.8926,   1/  3,4.34847569
7,0,12,0.06212376,0.06402368,0.06289772,0.8963,   2/  3,4.45094204
7,0,13,0.06071598,0.06481895,0.06289772,0.8935,   3/  3,4.59805846
7,1,0,0.15064256,0.11291963,0.11291963,0.8176,   0/  3,4.11817503
7,1,1,0.10227263,0.09287131,0.09287131,0.8428,   0/  3,4.1658082
7,1,2,0.09302758,0.09086156,0.09086156,0.847,   0/  3,4.16666579
7,1,3,0.08928366,0.08909743,0.08909743,0.8472,   0/  3,4.16244245
7,1,4,0.08744517,0.08790668,0.08790668,0.8496,   0/  3,4.17492867
7,1,5,0.08589528,0.08419495,0.08419495,0.8542,   0/  3,4.16842318
7,1,6,0.08515478,0.08542139,0.08419495,0.8544,   1/  3,4.17137122
7,1,7,0.08420656,0.0859637,0.08419495,0.8513,   2/  3,4.17620897
7,1,8,0.08353208,0.08550476,0.08419495,0.852,   3/  3,4.20114684
7,2,0,0.16141417,0.12541314,0.12541314,0.7351,   0/  3,4.10708117
7,2,1,0.11300205,0.10658387,0.10658387,0.7773,   0/  3,4.14380312
7,2,2,0.10549634,0.10117434,0.10117434,0.79,   0/  3,4.14750218
7,2,3,0.09812208,0.09849701,0.09849701,0.8094,   0/  3,4.14798045
7,2,4,0.09125822,0.08675568,0.08675568,0.8399,   0/  3,4.14716172
