Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation),Accuracy,EarlyStop Count,Runtim
4,0,12,0.25304382,0.25296867,0.2521651,0.3155,   2/  3,3.97407079
4,0,13,0.25199951,0.25094068,0.25094068,0.324,   2/  3,4.0651207
4,0,14,0.25105233,0.24985384,0.24985384,0.3142,   2/  3,4.06687474
4,0,15,0.25035091,0.2507691,0.24985384,0.323,   3/  3,4.0805974
4,1,0,0.38437203,0.32501695,0.32501695,0.1135,   0/  3,3.82779121
4,1,1,0.32496674,0.32491492,0.32491492,0.1135,   0/  3,3.84047198
4,1,2,0.32495657,0.32492305,0.32491492,0.1135,   1/  3,3.8404932
4,1,3,0.32495432,0.32492075,0.32491492,0.1135,   2/  3,3.84345603
4,1,4,0.32495567,0.32492617,0.32491492,0.1135,   3/  3,3.84463215
4,2,0,0.34480531,0.2874172,0.2874172,0.2206,   0/  3,3.94954896
4,2,1,0.27039946,0.26660284,0.26660284,0.2816,   0/  3,3.97929096
4,2,2,0.26496381,0.26500602,0.26500602,0.2898,   0/  3,3.97512722
4,2,3,0.2632842,0.26484039,0.26484039,0.2905,   0/  3,3.97778797
4,2,4,0.26247818,0.2627789,0.2627789,0.2852,   0/  3,3.98567772
4,2,5,0.26204587,0.26410116,0.2627789,0.287,   1/  3,3.97354555
4,2,6,0.26167785,0.26218335,0.26218335,0.2897,   1/  3,3.97777915
4,2,7,0.26138115,0.2619493,0.2619493,0.2917,   1/  3,3.97915697
4,2,8,0.26108612,0.26185833,0.26185833,0.2883,   1/  3,3.98583794
4,2,9,0.26096651,0.26192672,0.26185833,0.2888,   2/  3,4.02507043
4,2,10,0.26084951,0.26163433,0.26163433,0.2947,   2/  3,4.08005381
4,2,11,0.26058054,0.26218446,0.26163433,0.2914,   3/  3,4.11003637
4,3,0,0.35305173,0.32493694,0.32493694,0.1135,   0/  3,3.87536931
4,3,1,0.32501974,0.32502333,0.32493694,0.1135,   1/  3,3.89566517
4,3,2,0.32501007,0.32503892,0.32493694,0.1135,   2/  3,3.90181613
4,3,3,0.3250092,0.32497994,0.32493694,0.1135,   3/  3,3.90677953
4,4,0,0.30552165,0.2451586,0.2451586,0.3066,   0/  3,3.92373252
4,4,1,0.23783567,0.23428871,0.23428871,0.3383,   0/  3,3.9627223
4,4,2,0.23259113,0.23588679,0.23428871,0.3932,   1/  3,3.96008444
4,4,3,0.21836979,0.20970585,0.20970585,0.4164,   1/  3,3.95958447
4,4,4,0.20321576,0.20161968,0.20161968,0.4684,   1/  3,3.9683733
4,4,5,0.20024189,0.20218099,0.20161968,0.4588,   2/  3,3.96740389
4,4,6,0.19873057,0.19987761,0.19987761,0.4446,   2/  3,3.95582247
4,4,7,0.19816566,0.19866515,0.19866515,0.4618,   2/  3,3.96149135
4,4,8,0.19747212,0.19766773,0.19766773,0.4635,   2/  3,3.97560787
4,4,9,0.19698794,0.19689248,0.19689248,0.468,   2/  3,4.02669334
4,4,10,0.19597611,0.19668267,0.19668267,0.4624,   2/  3,4.05091476
4,4,11,0.19499656,0.19622485,0.19622485,0.4846,   2/  3,4.0772562
4,4,12,0.19310231,0.19662951,0.19622485,0.485,   3/  3,4.16181374
4,5,0,0.40254724,0.32512352,0.32512352,0.1135,   0/  3,3.8355844
4,5,1,0.32497367,0.32491172,0.32491172,0.1135,   0/  3,3.84948158
4,5,2,0.32495001,0.32493466,0.32491172,0.1135,   1/  3,3.85253596
4,5,3,0.32495532,0.32492148,0.32491172,0.1135,   2/  3,3.84991527
4,5,4,0.32495528,0.32494958,0.32491172,0.1135,   3/  3,3.85302854
4,6,0,0.34515848,0.29946193,0.29946193,0.1927,   0/  3,3.87836027
4,6,1,0.28620336,0.28148436,0.28148436,0.2153,   0/  3,3.87162304
4,6,2,0.28089222,0.27523202,0.27523202,0.2588,   0/  3,3.87324548
4,6,3,0.27643933,0.27222283,0.27222283,0.2631,   0/  3,3.86831188
4,6,4,0.27111116,0.26186361,0.26186361,0.2899,   0/  3,3.86694026
4,6,5,0.26639255,0.26278358,0.26186361,0.2875,   1/  3,3.86430955
4,6,6,0.26242416,0.25721556,0.25721556,0.2953,   1/  3,3.86159205
4,6,7,0.26091142,0.25805256,0.25721556,0.297,   2/  3,3.87194967
4,6,8,0.26014808,0.25782781,0.25721556,0.292,   3/  3,3.8789463
4,7,0,0.39147102,0.32508037,0.32508037,0.1135,   0/  3,3.97858071
4,7,1,0.32496435,0.32495088,0.32495088,0.1135,   0/  3,4.00804067
4,7,2,0.3249521,0.3249293,0.3249293,0.1135,   0/  3,4.0133276
4,7,3,0.32495244,0.32491476,0.32491476,0.1135,   0/  3,4.01428056
4,7,4,0.32495473,0.32495616,0.32491476,0.1135,   1/  3,4.01912832
4,7,5,0.32496046,0.32491988,0.32491476,0.1135,   2/  3,4.01737452
4,7,6,0.32495171,0.32494215,0.32491476,0.1135,   3/  3,4.0097158
4,8,0,0.35026737,0.32505171,0.32505171,0.1133,   0/  3,3.88062167
