Generation,PID, Epoch, Training Loss, Validation Loss,Best loss(Generation), Accuracy,EarlyStopCount,Runtime
0,0,0,0.34197184,0.32494871,0.32494871,0.1135,   0/  3,3.03785229
0,0,1,0.32501958,0.3250029,0.32494871,0.101,   1/  3,3.06158757
0,0,2,0.32501649,0.3249415,0.3249415,0.1135,   1/  3,3.05978513
0,0,3,0.32500727,0.32496926,0.3249415,0.1135,   2/  3,3.06088829
0,0,4,0.32501489,0.32502018,0.3249415,0.101,   3/  3,3.06741452
0,1,0,0.34965792,0.3249765,0.3249765,0.1135,   0/  3,2.9373343
0,1,1,0.32502854,0.32493411,0.32493411,0.1135,   0/  3,2.94735789
0,1,2,0.32500699,0.32508229,0.32493411,0.1135,   1/  3,2.94861412
0,1,3,0.32501369,0.32493655,0.32493411,0.1135,   2/  3,2.94701695
0,1,4,0.32501843,0.32496694,0.32493411,0.1028,   3/  3,2.94557333
0,2,0,0.19045888,0.13306051,0.13306051,0.7456,   0/  3,3.92287993
0,2,1,0.12125629,0.11115237,0.11115237,0.7985,   0/  3,3.98564076
0,2,2,0.10008633,0.09590116,0.09590116,0.8479,   0/  3,3.96216941
0,2,3,0.08426714,0.07884725,0.07884725,0.8699,   0/  3,3.96836042
0,2,4,0.07661372,0.07516649,0.07516649,0.8793,   0/  3,3.9780519
0,2,5,0.07378721,0.07644082,0.07516649,0.8728,   1/  3,3.96793818
0,2,6,0.07266365,0.07404707,0.07404707,0.8812,   1/  3,3.97508097
0,2,7,0.0713531,0.07334386,0.07334386,0.8834,   1/  3,3.97811007
0,2,8,0.07105647,0.07548939,0.07334386,0.8806,   2/  3,3.99409342
0,2,9,0.07000568,0.06949889,0.06949889,0.8886,   2/  3,4.06688595
0,2,10,0.06938475,0.07115092,0.06949889,0.8884,   3/  3,4.14739013
0,3,0,0.34804748,0.32501146,0.32501146,0.1135,   0/  3,3.09039998
0,3,1,0.32505482,0.32492474,0.32492474,0.1135,   0/  3,3.11857104
0,3,2,0.32504139,0.32502914,0.32492474,0.1135,   1/  3,3.11561537
0,3,3,0.32505192,0.32496963,0.32492474,0.1135,   2/  3,3.1216681
0,3,4,0.3250344,0.32508983,0.32492474,0.101,   3/  3,3.11601901
0,4,0,0.15117399,0.08996633,0.08996633,0.8533,   0/  3,3.86463761
0,4,1,0.0871962,0.07502064,0.07502064,0.8755,   0/  3,3.90931463
0,4,2,0.07344241,0.06388259,0.06388259,0.899,   0/  3,3.90926075
0,4,3,0.06532845,0.06305488,0.06305488,0.9003,   0/  3,3.90951371
0,4,4,0.0618665,0.06157225,0.06157225,0.9,   0/  3,3.9006381
0,4,5,0.05964768,0.05641076,0.05641076,0.9086,   0/  3,3.89845228
0,4,6,0.05801578,0.0577824,0.05641076,0.9058,   1/  3,3.89351463
0,4,7,0.05693892,0.05626969,0.05626969,0.9099,   1/  3,3.90203404
0,4,8,0.05575592,0.05852773,0.05626969,0.9059,   2/  3,3.93122697
0,4,9,0.05532444,0.05501481,0.05501481,0.9116,   2/  3,3.98924851
0,4,10,0.0542069,0.05303156,0.05303156,0.9123,   2/  3,4.05102372
0,4,11,0.05380519,0.0544854,0.05303156,0.9095,   3/  3,4.08604527
0,5,0,0.38506735,0.3250135,0.3250135,0.1135,   0/  3,3.37300229
0,5,1,0.32496477,0.3249383,0.3249383,0.1135,   0/  3,3.40980625
0,5,2,0.32495908,0.32491415,0.32491415,0.1135,   0/  3,3.41725135
0,5,3,0.32495342,0.32493108,0.32491415,0.1135,   1/  3,3.41644835
0,5,4,0.32495096,0.32492365,0.32491415,0.1135,   2/  3,3.41573238
