Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
0,8,2,0.16870893,0.16699149,0.16699149,0.6428,   0/  3,4.97875738
0,8,3,0.1641576,0.16319668,0.16319668,0.6526,   0/  3,4.97564816
0,8,4,0.16120228,0.16043361,0.16043361,0.6617,   0/  3,4.97901487
0,8,5,0.15893066,0.15871439,0.15871439,0.6707,   0/  3,4.9771452
0,8,6,0.15766865,0.15834413,0.15834413,0.6687,   0/  3,4.97871208
0,8,7,0.15621105,0.15728264,0.15728264,0.6792,   0/  3,4.99851251
0,8,8,0.15573678,0.16379977,0.15728264,0.6656,   1/  3,5.0376327
0,8,9,0.15542512,0.16224062,0.15728264,0.6649,   2/  3,5.15908313
0,8,10,0.15443381,0.15763661,0.15728264,0.6749,   3/  3,5.19940996
0,9,0,0.2581424,0.23577113,0.23577113,0.5143,   0/  3,3.81624246
0,9,1,0.22733279,0.22701435,0.22701435,0.5745,   0/  3,3.86989832
0,9,2,0.21483524,0.20753132,0.20753132,0.6651,   0/  3,3.86805367
0,9,3,0.19301511,0.17881045,0.17881045,0.6671,   0/  3,3.86123991
0,9,4,0.16709635,0.15893942,0.15893942,0.7621,   0/  3,3.85835886
0,9,5,0.14749949,0.13245266,0.13245266,0.75,   0/  3,3.86622977
0,9,6,0.13005206,0.1280071,0.1280071,0.7752,   0/  3,3.86484075
0,9,7,0.12586834,0.12848763,0.1280071,0.7771,   1/  3,3.86629272
0,9,8,0.1231565,0.12597587,0.12597587,0.7805,   1/  3,3.88302994
0,9,9,0.12135896,0.12353603,0.12353603,0.7788,   1/  3,3.94940186
0,9,10,0.11923251,0.12168929,0.12168929,0.801,   1/  3,4.00199175
0,9,11,0.11754251,0.12067651,0.12067651,0.7912,   1/  3,4.0348525
0,9,12,0.11503932,0.12171678,0.12067651,0.8022,   2/  3,4.13729048
0,9,13,0.11316307,0.11599538,0.11599538,0.8206,   2/  3,4.33103967
0,9,14,0.11176643,0.11406723,0.11406723,0.8217,   2/  3,4.3397243
0,9,15,0.11070806,0.1145843,0.11406723,0.8085,   3/  3,4.3393476
1,0,0,0.28175955,0.23360221,0.23360221,0.3786,   0/  3,4.69188738
1,0,1,0.22408088,0.21344571,0.21344571,0.4538,   0/  3,4.70738816
1,0,2,0.20634009,0.19373986,0.19373986,0.5474,   0/  3,4.70851731
1,0,3,0.19262105,0.18935469,0.18935469,0.5522,   0/  3,4.71093345
